Previo.jugo,Actual.jugo
0.0003910902,0.0001552018
0.0003912088,0.0002120227
0.0003917233,0.0001003203
0.000391842,9.97601440000005E-05
0.0004520301,4.96038489999999E-05
0.0004848804,0.0001015459
0.0003917628,0.0001023335
0.0003917628,9.97601440000005E-05
0.0004848804,8.95105210000005E-05
0.0003915254,0.000120956
0.0003908924,6.35527840000001E-05
0.0004224258,6.9372241E-05
0.0003643899,7.4511424E-05
0.0004511801,7.14024999999998E-05
0.0003917628,9.63342249999998E-05
0.0003918816,0.0001552516
0.0003910902,0.0001201874
0.0004508828,0.0001340501
0.0004223847,0.000086937
0.0003911297,0.00003844
0.0004559933,0.0001004605
0.0003917628,0.0000391
0.0003917628,5.98766439999999E-05
0.0004223847,0.0001023335
0.0003917233,5.98611690000003E-05
0.0003911297,6.85087290000001E-05
0.0004224258,0.0001436163
0.0003917233,0.0001694163
0.0003917628,0.0002059512
0.0003912088,0.0001527943
0.0003917233,0.0001152832
0.000391842,0.00003844
0.0003907738,6.27422409999997E-05
0.0003908529,0.0001004405
0.0004520301,7.3582084E-05
0.0003917628,0.0001004605
0.0003917628,0.0001023739
0.0003917628,7.3582084E-05
0.0003917628,0.0001336567
0.0004848804,0.0001004605
0.000451775,7.3582084E-05
0.0003917628,9.97601440000005E-05
0.0004740635,9.97601440000005E-05
0.0004521152,5.98766439999999E-05
0.0003910111,7.36164000000001E-05
0.0004741506,0.0001004405
0.0003917233,7.3582084E-05
0.0004520301,9.63342249999998E-05
0.0003917628,0.0001004605
0.0003643899,7.3582084E-05
0.0004223847,6.27422409999997E-05
0.0004224258,0.0001023739
0.0004226314,7.36678889999996E-05
0.0003908924,8.17035209999998E-05
0.0004508828,8.94537639999999E-05
0.0004847923,7.3582084E-05
0.000422508,7.14532090000003E-05
0.0003917628,0.0001159068
0.0003643899,7.3582084E-05
0.000422508,0.000072284
0.0003908924,8.94915999999999E-05
0.0004223847,7.14024999999998E-05
0.000391842,9.63342249999998E-05
0.0003910111,0.0001205824
0.0004223847,0.000195888
0.0003917628,0.0001008418
0.0004520301,0.0001642242
0.0003917628,0.0001328256
0.0004520301,0.0001340501
0.0003917628,9.97601440000005E-05
0.0003917628,0.0001328256
0.0003908924,6.35368409999996E-05
0.0004223847,0.0001004405
0.0004848804,0.0001023739
0.0003908924,7.3582084E-05
0.0004223847,9.97601440000005E-05
0.0004224258,6.85087290000001E-05
0.0003643899,8.68996840000005E-05
0.0003918816,9.97601440000005E-05
0.0003917628,7.36164000000001E-05
0.0004520301,4.95475209999999E-05
0.0003917628,0.0001328256
0.0003908529,0.0001328256
0.0003917628,2.2231225E-05
0.0004223847,0.0001004405
0.0003917628,5.04242009999999E-05
0.0004226314,5.00839290000004E-05
0.000422508,6.27422409999997E-05
0.0004509677,0.0001335874
0.0004223847,0.0001055962
0.0003911297,0.00003844
0.0004568906,5.54727039999997E-05
0.0003917628,9.04400999999998E-05
0.0003911297,5.98766439999999E-05
0.0003912088,0.0001023335
0.0004223847,8.95483690000005E-05
0.0004849244,4.95897640000003E-05
0.00045186,9.63342249999998E-05
0.0004846162,8.94915999999999E-05
0.0004521152,5.98766439999999E-05
0.0004224258,4.9688401E-05
